Second,P1_Player,P1_Champion,P1_MinionsKilled,P1_JungleMinionsKilled,P1_X,P1_Y,P1_Team,P1_Position,P2_Player,P2_Champion,P2_MinionsKilled,P2_JungleMinionsKilled,P2_X,P2_Y,P2_Team,P2_Position,Distance_Between_Junglers,MatchId,P1_x_next,P1_y_next,P2_x_next,P2_y_next
1200.0,Daakroth,Khazix,1.0,140.0,0.026266666666666667,0.030733333333333335,100.0,JUNGLE,craz,Trundle,15.0,86.0,0.8984666666666666,0.9347333333333333,200.0,JUNGLE,18842.46504574176,NA1_5320907549,0.7599333333333333,0.2276,0.5815333333333333,0.5935333333333334
1260.0,Daakroth,Khazix,1.0,140.0,0.7599333333333333,0.2276,100.0,JUNGLE,craz,Trundle,22.0,86.0,0.5815333333333333,0.5935333333333334,200.0,JUNGLE,6106.561798590104,NA1_5320907549,0.6802666666666667,0.42393333333333333,0.6592666666666667,0.4271333333333333
0.0,Demitri,Trundle,0.0,0.0,0.03953333333333333,0.030933333333333334,100.0,JUNGLE,G2 Luffy,LeeSin,0.0,0.0,0.9692666666666667,0.9596,200.0,JUNGLE,19711.311879223056,NA1_5321104340,0.5381333333333334,0.23386666666666667,0.27066666666666667,0.5763333333333334
60.0,Demitri,Trundle,0.0,0.0,0.5381333333333334,0.23386666666666667,100.0,JUNGLE,G2 Luffy,LeeSin,0.0,0.0,0.27066666666666667,0.5763333333333334,200.0,JUNGLE,6518.04518241474,NA1_5321104340,0.1636,0.5575333333333333,0.4358,0.8257333333333333
120.0,Demitri,Trundle,0.0,4.0,0.1636,0.5575333333333333,100.0,JUNGLE,G2 Luffy,LeeSin,0.0,4.0,0.4358,0.8257333333333333,200.0,JUNGLE,5731.964584677752,NA1_5321104340,0.5119333333333334,0.2528666666666667,0.8460666666666666,0.41506666666666664
180.0,Demitri,Trundle,0.0,16.0,0.5119333333333334,0.2528666666666667,100.0,JUNGLE,G2 Luffy,LeeSin,0.0,16.0,0.8460666666666666,0.41506666666666664,200.0,JUNGLE,5571.3223744457655,NA1_5321104340,0.6730666666666667,0.3962,0.8409333333333333,0.3651333333333333
240.0,Demitri,Trundle,0.0,20.0,0.6730666666666667,0.3962,100.0,JUNGLE,G2 Luffy,LeeSin,0.0,20.0,0.8409333333333333,0.3651333333333333,200.0,JUNGLE,2560.75770036917,NA1_5321104340,0.11086666666666667,0.8482666666666666,0.3372,0.5652
300.0,Demitri,Trundle,0.0,32.0,0.11086666666666667,0.8482666666666666,100.0,JUNGLE,G2 Luffy,LeeSin,0.0,24.0,0.3372,0.5652,200.0,JUNGLE,5436.408833044108,NA1_5321104340,0.4522,0.34773333333333334,0.6231333333333333,0.6334
360.0,Demitri,Trundle,0.0,36.0,0.4522,0.34773333333333334,100.0,JUNGLE,G2 Luffy,LeeSin,0.0,32.0,0.6231333333333333,0.6334,200.0,JUNGLE,4993.5279112066655,NA1_5321104340,0.8504666666666667,0.21273333333333333,0.5406,0.4694
420.0,Demitri,Trundle,0.0,44.0,0.8504666666666667,0.21273333333333333,100.0,JUNGLE,G2 Luffy,LeeSin,0.0,40.0,0.5406,0.4694,200.0,JUNGLE,6035.429065112106,NA1_5321104340,0.1748,0.874,0.18833333333333332,0.8627333333333334
480.0,Demitri,Trundle,0.0,48.0,0.1748,0.874,100.0,JUNGLE,G2 Luffy,LeeSin,0.0,48.0,0.18833333333333332,0.8627333333333334,200.0,JUNGLE,264.1401143332833,NA1_5321104340,0.3300666666666667,0.6192,0.6666666666666666,0.30173333333333335
540.0,Demitri,Trundle,1.0,52.0,0.3300666666666667,0.6192,100.0,JUNGLE,G2 Luffy,LeeSin,0.0,48.0,0.6666666666666666,0.30173333333333335,200.0,JUNGLE,6940.392279979569,NA1_5321104340,0.4689333333333333,0.2879333333333333,0.847,0.4168
600.0,Demitri,Trundle,2.0,60.0,0.4689333333333333,0.2879333333333333,100.0,JUNGLE,G2 Luffy,LeeSin,0.0,56.0,0.847,0.4168,200.0,JUNGLE,5991.387986101384,NA1_5321104340,0.2346,0.5747333333333333,0.39966666666666667,0.8318666666666666
660.0,Demitri,Trundle,6.0,72.0,0.2346,0.5747333333333333,100.0,JUNGLE,G2 Luffy,LeeSin,0.0,71.0,0.39966666666666667,0.8318666666666666,200.0,JUNGLE,4583.3421212036965,NA1_5321104340,0.4255333333333333,0.0858,0.9412666666666667,0.8494
720.0,Demitri,Trundle,6.0,76.0,0.4255333333333333,0.0858,100.0,JUNGLE,G2 Luffy,LeeSin,1.0,71.0,0.9412666666666667,0.8494,200.0,JUNGLE,13821.715233645931,NA1_5321104340,0.23706666666666668,0.5215333333333333,0.7744666666666666,0.5332666666666667
780.0,Demitri,Trundle,6.0,84.0,0.23706666666666668,0.5215333333333333,100.0,JUNGLE,G2 Luffy,LeeSin,7.0,79.0,0.7744666666666666,0.5332666666666667,200.0,JUNGLE,8062.921120784948,NA1_5321104340,0.24533333333333332,0.7966666666666666,0.6481333333333333,0.39386666666666664
840.0,Demitri,Trundle,6.0,100.0,0.24533333333333332,0.7966666666666666,100.0,JUNGLE,G2 Luffy,LeeSin,10.0,79.0,0.6481333333333333,0.39386666666666664,200.0,JUNGLE,8544.67834385824,NA1_5321104340,0.3433333333333333,0.10833333333333334,0.7999333333333334,0.34986666666666666
900.0,Demitri,Trundle,8.0,104.0,0.3433333333333333,0.10833333333333334,100.0,JUNGLE,G2 Luffy,LeeSin,11.0,91.0,0.7999333333333334,0.34986666666666666,200.0,JUNGLE,7748.221086159067,NA1_5321104340,0.23833333333333334,0.44253333333333333,0.31246666666666667,0.6437333333333334
960.0,Demitri,Trundle,8.0,116.0,0.23833333333333334,0.44253333333333333,100.0,JUNGLE,G2 Luffy,LeeSin,11.0,91.0,0.31246666666666667,0.6437333333333334,200.0,JUNGLE,3216.3438870867026,NA1_5321104340,0.5245333333333333,0.36466666666666664,0.48693333333333333,0.5666
